element,category_id,frequency_in_category
grate,Al-Iskandariyah (Alexandria),3
great,Al-Iskandariyah (Alexandria),54
greeny,Al-Iskandariyah (Alexandria),4
guest,Al-Iskandariyah (Alexandria),3
guide,Al-Iskandariyah (Alexandria),3
habit,Al-Iskandariyah (Alexandria),8
hangout,Al-Iskandariyah (Alexandria),6
hate,Al-Iskandariyah (Alexandria),5
high,Al-Iskandariyah (Alexandria),31
home,Al-Iskandariyah (Alexandria),5
honey,Al-Iskandariyah (Alexandria),4
horrible,Al-Iskandariyah (Alexandria),7
hospitable,Al-Iskandariyah (Alexandria),5
hotel,Al-Iskandariyah (Alexandria),13
hour,Al-Iskandariyah (Alexandria),5
house,Al-Iskandariyah (Alexandria),4
hr,Al-Iskandariyah (Alexandria),3
ignorant,Al-Iskandariyah (Alexandria),2
instruction,Al-Iskandariyah (Alexandria),7
isolated,Al-Iskandariyah (Alexandria),1
january,Al-Iskandariyah (Alexandria),2
jet,Al-Iskandariyah (Alexandria),3
joujou,Al-Iskandariyah (Alexandria),3
juice,Al-Iskandariyah (Alexandria),3
july,Al-Iskandariyah (Alexandria),12
kept,Al-Iskandariyah (Alexandria),5
kid,Al-Iskandariyah (Alexandria),12
kiss,Al-Iskandariyah (Alexandria),5
km,Al-Iskandariyah (Alexandria),3
last,Al-Iskandariyah (Alexandria),20
let,Al-Iskandariyah (Alexandria),5
level,Al-Iskandariyah (Alexandria),5
life,Al-Iskandariyah (Alexandria),4
light,Al-Iskandariyah (Alexandria),4
little,Al-Iskandariyah (Alexandria),8
live,Al-Iskandariyah (Alexandria),2
living,Al-Iskandariyah (Alexandria),10
local,Al-Iskandariyah (Alexandria),7
look,Al-Iskandariyah (Alexandria),10
lot,Al-Iskandariyah (Alexandria),45
love,Al-Iskandariyah (Alexandria),23
low,Al-Iskandariyah (Alexandria),5
lunch,Al-Iskandariyah (Alexandria),5
maamoura,Al-Iskandariyah (Alexandria),5
mamora,Al-Iskandariyah (Alexandria),4
many,Al-Iskandariyah (Alexandria),26
meet,Al-Iskandariyah (Alexandria),1
memorable,Al-Iskandariyah (Alexandria),4
memory,Al-Iskandariyah (Alexandria),4
met,Al-Iskandariyah (Alexandria),5
metre,Al-Iskandariyah (Alexandria),5
miss,Al-Iskandariyah (Alexandria),3
moment,Al-Iskandariyah (Alexandria),6
money,Al-Iskandariyah (Alexandria),7
montazaha,Al-Iskandariyah (Alexandria),4
month,Al-Iskandariyah (Alexandria),11
moon,Al-Iskandariyah (Alexandria),7
morning,Al-Iskandariyah (Alexandria),5
much,Al-Iskandariyah (Alexandria),18
nature,Al-Iskandariyah (Alexandria),5
nd,Al-Iskandariyah (Alexandria),4
need,Al-Iskandariyah (Alexandria),27
new,Al-Iskandariyah (Alexandria),4
next,Al-Iskandariyah (Alexandria),11
night,Al-Iskandariyah (Alexandria),11
noise,Al-Iskandariyah (Alexandria),1
noisy,Al-Iskandariyah (Alexandria),8
north,Al-Iskandariyah (Alexandria),4
nowadays,Al-Iskandariyah (Alexandria),1
occupancy,Al-Iskandariyah (Alexandria),4
oh,Al-Iskandariyah (Alexandria),7
ok,Al-Iskandariyah (Alexandria),8
old,Al-Iskandariyah (Alexandria),18
open,Al-Iskandariyah (Alexandria),5
opinion,Al-Iskandariyah (Alexandria),4
optimal,Al-Iskandariyah (Alexandria),4
outstanding,Al-Iskandariyah (Alexandria),5
paint,Al-Iskandariyah (Alexandria),5
pamper,Al-Iskandariyah (Alexandria),3
paradise,Al-Iskandariyah (Alexandria),6
park,Al-Iskandariyah (Alexandria),5
part,Al-Iskandariyah (Alexandria),6
past,Al-Iskandariyah (Alexandria),6
pay,Al-Iskandariyah (Alexandria),14
peaid,Al-Iskandariyah (Alexandria),7
pedalo,Al-Iskandariyah (Alexandria),3
people,Al-Iskandariyah (Alexandria),48
perfect,Al-Iskandariyah (Alexandria),10
person,Al-Iskandariyah (Alexandria),10
personal,Al-Iskandariyah (Alexandria),3
place,Al-Iskandariyah (Alexandria),165
planet,Al-Iskandariyah (Alexandria),2
planning,Al-Iskandariyah (Alexandria),4
plastic,Al-Iskandariyah (Alexandria),2
pleasant,Al-Iskandariyah (Alexandria),10
plenty,Al-Iskandariyah (Alexandria),5
prefer,Al-Iskandariyah (Alexandria),4
president,Al-Iskandariyah (Alexandria),4
price,Al-Iskandariyah (Alexandria),5
privacy,Al-Iskandariyah (Alexandria),10
private,Al-Iskandariyah (Alexandria),29
problem,Al-Iskandariyah (Alexandria),2
public,Al-Iskandariyah (Alexandria),14
purple,Al-Iskandariyah (Alexandria),2
quiet,Al-Iskandariyah (Alexandria),5
random,Al-Iskandariyah (Alexandria),2
recommend,Al-Iskandariyah (Alexandria),6
relax,Al-Iskandariyah (Alexandria),15
relaxation,Al-Iskandariyah (Alexandria),9
renovation,Al-Iskandariyah (Alexandria),4
rent,Al-Iskandariyah (Alexandria),16
represent,Al-Iskandariyah (Alexandria),2
resident,Al-Iskandariyah (Alexandria),11
residential,Al-Iskandariyah (Alexandria),7
resist,Al-Iskandariyah (Alexandria),2
resort,Al-Iskandariyah (Alexandria),3
responsible,Al-Iskandariyah (Alexandria),5
rest,Al-Iskandariyah (Alexandria),5
restaurant,Al-Iskandariyah (Alexandria),27
rich,Al-Iskandariyah (Alexandria),4
rubbish,Al-Iskandariyah (Alexandria),10
rude,Al-Iskandariyah (Alexandria),7
rule,Al-Iskandariyah (Alexandria),7
sadat,Al-Iskandariyah (Alexandria),4
safe,Al-Iskandariyah (Alexandria),7
sand,Al-Iskandariyah (Alexandria),16
sandwich,Al-Iskandariyah (Alexandria),3
sandy,Al-Iskandariyah (Alexandria),9
saturday,Al-Iskandariyah (Alexandria),3
sea,Al-Iskandariyah (Alexandria),36
seashore,Al-Iskandariyah (Alexandria),3
season,Al-Iskandariyah (Alexandria),4
security,Al-Iskandariyah (Alexandria),2
self,Al-Iskandariyah (Alexandria),3
selfish,Al-Iskandariyah (Alexandria),2
semi,Al-Iskandariyah (Alexandria),4
september,Al-Iskandariyah (Alexandria),4
service,Al-Iskandariyah (Alexandria),17
sewage,Al-Iskandariyah (Alexandria),2
shabby,Al-Iskandariyah (Alexandria),5
shop,Al-Iskandariyah (Alexandria),15
shore,Al-Iskandariyah (Alexandria),4
shouldnt,Al-Iskandariyah (Alexandria),7
shower,Al-Iskandariyah (Alexandria),3
sick,Al-Iskandariyah (Alexandria),5
sit,Al-Iskandariyah (Alexandria),7
small,Al-Iskandariyah (Alexandria),3
solo,Al-Iskandariyah (Alexandria),7
someone,Al-Iskandariyah (Alexandria),3
soul,Al-Iskandariyah (Alexandria),7
spend,Al-Iskandariyah (Alexandria),37
spent,Al-Iskandariyah (Alexandria),5
spring,Al-Iskandariyah (Alexandria),10
standard,Al-Iskandariyah (Alexandria),5
stanley,Al-Iskandariyah (Alexandria),3
star,Al-Iskandariyah (Alexandria),3
stay,Al-Iskandariyah (Alexandria),3
stop,Al-Iskandariyah (Alexandria),9
store,Al-Iskandariyah (Alexandria),5
studio,Al-Iskandariyah (Alexandria),7
subdivision,Al-Iskandariyah (Alexandria),5
suck,Al-Iskandariyah (Alexandria),6
suit,Al-Iskandariyah (Alexandria),4
suitable,Al-Iskandariyah (Alexandria),10
summer,Al-Iskandariyah (Alexandria),56
sun,Al-Iskandariyah (Alexandria),3
sunset,Al-Iskandariyah (Alexandria),26
supermarket,Al-Iskandariyah (Alexandria),7
suppose,Al-Iskandariyah (Alexandria),5
surf,Al-Iskandariyah (Alexandria),12
swim,Al-Iskandariyah (Alexandria),7
taste,Al-Iskandariyah (Alexandria),3
tea,Al-Iskandariyah (Alexandria),5
tell,Al-Iskandariyah (Alexandria),4
terrible,Al-Iskandariyah (Alexandria),10
thanks,Al-Iskandariyah (Alexandria),3
thing,Al-Iskandariyah (Alexandria),5
think,Al-Iskandariyah (Alexandria),5
thought,Al-Iskandariyah (Alexandria),7
ticket,Al-Iskandariyah (Alexandria),7
till,Al-Iskandariyah (Alexandria),4
time,Al-Iskandariyah (Alexandria),62
tour,Al-Iskandariyah (Alexandria),3
tourist,Al-Iskandariyah (Alexandria),3
track,Al-Iskandariyah (Alexandria),3
transportation,Al-Iskandariyah (Alexandria),4
trap,Al-Iskandariyah (Alexandria),2
travel,Al-Iskandariyah (Alexandria),7
trip,Al-Iskandariyah (Alexandria),3
try,Al-Iskandariyah (Alexandria),4
umbrella,Al-Iskandariyah (Alexandria),9
un,Al-Iskandariyah (Alexandria),7
unprofessional,Al-Iskandariyah (Alexandria),7
vacation,Al-Iskandariyah (Alexandria),4
variety,Al-Iskandariyah (Alexandria),7
vey,Al-Iskandariyah (Alexandria),4
vibe,Al-Iskandariyah (Alexandria),5
view,Al-Iskandariyah (Alexandria),18
visit,Al-Iskandariyah (Alexandria),22
visitor,Al-Iskandariyah (Alexandria),5
walk,Al-Iskandariyah (Alexandria),31
warm,Al-Iskandariyah (Alexandria),2
wasnt,Al-Iskandariyah (Alexandria),4
watch,Al-Iskandariyah (Alexandria),3
water,Al-Iskandariyah (Alexandria),22
wave,Al-Iskandariyah (Alexandria),5
way,Al-Iskandariyah (Alexandria),11
weather,Al-Iskandariyah (Alexandria),7
weekend,Al-Iskandariyah (Alexandria),1
whole,Al-Iskandariyah (Alexandria),4
wife,Al-Iskandariyah (Alexandria),6
willing,Al-Iskandariyah (Alexandria),8
winter,Al-Iskandariyah (Alexandria),40
wise,Al-Iskandariyah (Alexandria),2
wonderful,Al-Iskandariyah (Alexandria),5
worth,Al-Iskandariyah (Alexandria),3
year,Al-Iskandariyah (Alexandria),40
yes,Al-Iskandariyah (Alexandria),7
young,Al-Iskandariyah (Alexandria),3
youth,Al-Iskandariyah (Alexandria),13
yr,Al-Iskandariyah (Alexandria),3
ability,Alicante,1
abit,Alicante,1
able,Alicante,4
abound,Alicante,1
absolute,Alicante,2
abundance,Alicante,5
acces,Alicante,1
accesible,Alicante,1
access,Alicante,19
accessibility,Alicante,2
accessible,Alicante,6
accommodates,Alicante,1
accommodation,Alicante,2
accomodate,Alicante,1
acre,Alicante,2
action,Alicante,2
active,Alicante,1
activity,Alicante,9
additional,Alicante,1
adjacent,Alicante,4
admire,Alicante,1
adult,Alicante,5
advance,Alicante,2
advantage,Alicante,1
adventruous,Alicante,1
adverse,Alicante,1
advice,Alicante,4
advisor,Alicante,1
afford,Alicante,1
afraid,Alicante,1
afternoon,Alicante,13
afterwards,Alicante,2
age,Alicante,3
aid,Alicante,4
air,Alicante,3
aircons,Alicante,1
airport,Alicante,3
alacant,Alicante,1
alarmed,Alicante,1
albufeseta,Alicante,1
alfonso,Alicante,1
algae,Alicante,1
algofora,Alicante,1
allbeit,Alicante,1
alllways,Alicante,1
allocation,Alicante,1
almirante,Alicante,3
almond,Alicante,1
alot,Alicante,1
alternative,Alicante,1
ambience,Alicante,1
amble,Alicante,2
ameneties,Alicante,1
amenity,Alicante,6
amount,Alicante,6
ample,Alicante,3
amrigo,Alicante,1
amuse,Alicante,1
animal,Alicante,1
announcement,Alicante,1
annoyed,Alicante,1
answer,Alicante,1
anybody,Alicante,2
anyone,Alicante,8
anything,Alicante,7
apartment,Alicante,13
appartments,Alicante,1
apprehensive,Alicante,1
appropriate,Alicante,2
approx,Alicante,2
april,Alicante,4
aprox,Alicante,1
architecture,Alicante,1
area,Alicante,88
arent,Alicante,1
array,Alicante,2
arrive,Alicante,4
artifcio,Alicante,1
ask,Alicante,1
asset,Alicante,1
assumption,Alicante,1
ate,Alicante,2
atm,Alicante,1
attack,Alicante,1
attendant,Alicante,1
attention,Alicante,1
attract,Alicante,1
attraction,Alicante,2
attractive,Alicante,3
august,Alicante,12
authentic,Alicante,2
authority,Alicante,1
autobus,Alicante,1
autovias,Alicante,1
autumn,Alicante,1
available,Alicante,18
avalable,Alicante,1
avenida,Alicante,1
avenue,Alicante,1
average,Alicante,1
avoid,Alicante,6
aware,Alicante,3
awesome,Alicante,2
awful,Alicante,3
awning,Alicante,1
azur,Alicante,1
baby,Alicante,3
backdrop,Alicante,2
background,Alicante,1
backing,Alicante,1
bad,Alicante,17
bag,Alicante,8
ball,Alicante,4
bang,Alicante,1
bano,Alicante,1
bar,Alicante,135
barbara,Alicante,9
bareable,Alicante,1
barren,Alicante,1
base,Alicante,2
basic,Alicante,1
basis,Alicante,1
bat,Alicante,1
bath,Alicante,3
bathe,Alicante,2
bather,Alicante,2
bathing,Alicante,10
bathroom,Alicante,4
bay,Alicante,4
beacause,Alicante,1
beach,Alicante,863
beachclean,Alicante,1
beachfront,Alicante,2
beachside,Alicante,3
beachvery,Alicante,1
beacj,Alicante,1
beacxh,Alicante,1
bear,Alicante,3
beat,Alicante,4
beautiful,Alicante,72
beauty,Alicante,5
bech,Alicante,1
become,Alicante,1
bed,Alicante,38
beech,Alicante,2
beer,Alicante,5
begin,Alicante,1
belching,Alicante,1
belong,Alicante,1
belonging,Alicante,3
bench,Alicante,1
bend,Alicante,1
beneath,Alicante,2
beside,Alicante,6
best,Alicante,46
beware,Alicante,2
big,Alicante,34
bike,Alicante,2
bikini,Alicante,1
billboard,Alicante,1
bin,Alicante,4
bisque,Alicante,1
bit,Alicante,38
bite,Alicante,2
blanca,Alicante,13
blanka,Alicante,1
blanket,Alicante,1
blending,Alicante,2
blew,Alicante,1
bliss,Alicante,1
block,Alicante,5
blown,Alicante,1
blue,Alicante,14
board,Alicante,5
boardwalk,Alicante,3
boat,Alicante,5
body,Alicante,3
bonita,Alicante,1
bonus,Alicante,3
book,Alicante,6
boring,Alicante,2
bottle,Alicante,1
bottom,Alicante,3
bought,Alicante,1
boulevard,Alicante,1
bounce,Alicante,1
bouncy,Alicante,1
box,Alicante,1
boxing,Alicante,1
boy,Alicante,2
branch,Alicante,1
brava,Alicante,2
brbara,Alicante,1
break,Alicante,12
breaker,Alicante,1
breakfast,Alicante,3
breakwater,Alicante,1
breath,Alicante,1
breeze,Alicante,7
bridge,Alicante,2
brilliant,Alicante,3
bring,Alicante,9
broad,Alicante,3
brolly,Alicante,1
brother,Alicante,1
brought,Alicante,1
brown,Alicante,1
browsing,Alicante,1
brunch,Alicante,1
bucket,Alicante,1
budget,Alicante,1
buffet,Alicante,2
bug,Alicante,2
build,Alicante,1
building,Alicante,6
built,Alicante,3
bull,Alicante,4
bummer,Alicante,1
bungalow,Alicante,1
burger,Alicante,7
burn,Alicante,4
burnt,Alicante,1
bursting,Alicante,1
bus,Alicante,27
bush,Alicante,1
busier,Alicante,6
busiest,Alicante,1
business,Alicante,1
bustle,Alicante,1
bustling,Alicante,3
busy,Alicante,57
butt,Alicante,1
buzzing,Alicante,2
cab,Alicante,1
cabana,Alicante,1
cabelaria,Alicante,1
cabin,Alicante,2
cabo,Alicante,3
caf,Alicante,1
cafe,Alicante,60
cafs,Alicante,2
cake,Alicante,2
calamari,Alicante,1
california,Alicante,1
call,Alicante,1
calle,Alicante,1
calm,Alicante,11
calmer,Alicante,2
calmly,Alicante,1
calmness,Alicante,1
calypso,Alicante,1
camera,Alicante,1
campello,Alicante,14
campomar,Alicante,2
cancun,Alicante,2
canoe,Alicante,1
canopy,Alicante,1
cant,Alicante,1
canteen,Alicante,1
cap,Alicante,1
capacity,Alicante,1
car,Alicante,15
carabiner,Alicante,1
card,Alicante,1
care,Alicante,4
careful,Alicante,7
carefull,Alicante,1
caribbean,Alicante,3
carpeting,Alicante,1
carrer,Alicante,1
carriageway,Alicante,2
carry,Alicante,1
case,Alicante,1
castell,Alicante,1
castilla,Alicante,1
castillo,Alicante,2
castle,Alicante,14
catch,Alicante,4
caught,Alicante,3
cause,Alicante,1
ceasar,Alicante,1
cell,Alicante,1
cellphone,Alicante,1
center,Alicante,16
central,Alicante,11
centre,Alicante,34
certain,Alicante,2
chair,Alicante,16
chaise,Alicante,2
challenge,Alicante,1
chance,Alicante,1
change,Alicante,5
changerooms,Alicante,1
channel,Alicante,1
charcoal,Alicante,2
charge,Alicante,7
charger,Alicante,1
cheap,Alicante,13
cheaper,Alicante,6
check,Alicante,3
checked,Alicante,2
cheese,Alicante,2
chicken,Alicante,2
child,Alicante,34
childhood,Alicante,1
childrens,Alicante,1
chill,Alicante,3
chip,Alicante,3
choice,Alicante,15
choose,Alicante,8
chopitos,Alicante,1
choppy,Alicante,2
chose,Alicante,1
christmas,Alicante,1
church,Alicante,2
cigarette,Alicante,1
city,Alicante,67
clean,Alicante,192
cleaner,Alicante,5
cleanest,Alicante,2
cleaning,Alicante,2
cleanliness,Alicante,2
clear,Alicante,26
clearest,Alicante,1
cliff,Alicante,1
closeby,Alicante,1
closest,Alicante,5
clothes,Alicante,1
clothing,Alicante,2
club,Alicante,2
cluster,Alicante,1
cmon,Alicante,1
coast,Alicante,20
coastal,Alicante,3
coastline,Alicante,3
cobble,Alicante,1
cocktail,Alicante,7
coffee,Alicante,14
coin,Alicante,1
cold,Alicante,16
colder,Alicante,1
collector,Alicante,1
color,Alicante,1
colour,Alicante,4
colourful,Alicante,1
combed,Alicante,1
combination,Alicante,1
comfort,Alicante,1
comfortable,Alicante,8
commences,Alicante,1
commend,Alicante,1
commercial,Alicante,1
communicate,Alicante,1
commute,Alicante,1
compensates,Alicante,1
competition,Alicante,2
complaint,Alicante,1
complete,Alicante,1
con,Alicante,1
concept,Alicante,1
concession,Alicante,1
condition,Alicante,2
condtiions,Alicante,1
conducters,Alicante,1
confortable,Alicante,2
congregate,Alicante,1
connection,Alicante,2
connectivity,Alicante,1
constant,Alicante,4
contact,Alicante,1
contain,Alicante,1
contemporary,Alicante,1
continue,Alicante,1
contour,Alicante,1
contrast,Alicante,1
convenient,Alicante,2
cooked,Alicante,1
cool,Alicante,5
cooler,Alicante,1
coolness,Alicante,1
copsta,Alicante,1
corner,Alicante,2
cornwall,Alicante,1
coruna,Alicante,2
cost,Alicante,13
costa,Alicante,18
couldnt,Alicante,1
council,Alicante,1
counter,Alicante,1
country,Alicante,2
couple,Alicante,22
course,Alicante,5
court,Alicante,1
cousin,Alicante,3
cove,Alicante,2
coverack,Alicante,1
crammed,Alicante,1
cramped,Alicante,1
crappy,Alicante,1
crash,Alicante,1
crazy,Alicante,2
cream,Alicante,10
cross,Alicante,3
crowd,Alicante,4
crowdy,Alicante,2
cruise,Alicante,4
crystal,Alicante,3
cubic,Alicante,1
cup,Alicante,2
current,Alicante,12
customer,Alicante,1
cut,Alicante,1
cycling,Alicante,1
cyclist,Alicante,2
daily,Alicante,1
damage,Alicante,1
damp,Alicante,1
danger,Alicante,1
dangerous,Alicante,7
dark,Alicante,1
darker,Alicante,1
daughter,Alicante,1
dave,Alicante,1
day,Alicante,120
daytime,Alicante,1
de,Alicante,24
dead,Alicante,1
deal,Alicante,2
death,Alicante,1
decent,Alicante,3
decision,Alicante,1
deck,Alicante,1
dee,Alicante,1
deep,Alicante,8
def,Alicante,2
defecate,Alicante,1
definite,Alicante,1
defo,Alicante,1
degree,Alicante,4
del,Alicante,14
delicious,Alicante,2
delightful,Alicante,1
dels,Alicante,1
demand,Alicante,2
departure,Alicante,1
depends,Alicante,1
depth,Alicante,6
described,Alicante,1
design,Alicante,1
designer,Alicante,2
destin,Alicante,1
destination,Alicante,2
detriment,Alicante,1
development,Alicante,1
devestation,Alicante,1
didnt,Alicante,2
different,Alicante,8
difficult,Alicante,4
dig,Alicante,1
dimensional,Alicante,1
dine,Alicante,1
diner,Alicante,1
dinner,Alicante,3
dip,Alicante,1
direct,Alicante,2
direction,Alicante,1
dirty,Alicante,4
disability,Alicante,1
disable,Alicante,1
disabled,Alicante,2
disadvantage,Alicante,1
disappoint,Alicante,2
disappointed,Alicante,3
disappointment,Alicante,1
disappoints,Alicante,1
discover,Alicante,1
dish,Alicante,2
disliked,Alicante,1
display,Alicante,1
disposal,Alicante,1
distance,Alicante,11
distant,Alicante,2
disturb,Alicante,1
divan,Alicante,1
dock,Alicante,1
doctor,Alicante,1
doesnt,Alicante,3
dog,Alicante,5
dollar,Alicante,1
donalds,Alicante,1
donation,Alicante,1
dont,Alicante,8
door,Alicante,2
doorstep,Alicante,3
dot,Alicante,1
doubt,Alicante,2
downside,Alicante,7
downtown,Alicante,2
dozen,Alicante,1
drag,Alicante,1
dreamt,Alicante,1
drink,Alicante,41
drinkable,Alicante,1
drinker,Alicante,1
drinking,Alicante,5
drive,Alicante,6
driver,Alicante,4
drop,Alicante,3
drove,Alicante,2
drown,Alicante,1
drum,Alicante,1
dsy,Alicante,1
dual,Alicante,1
duck,Alicante,5
due,Alicante,8
dump,Alicante,1
dunas,Alicante,2
dune,Alicante,6
dusty,Alicante,1
duty,Alicante,8
dvd,Alicante,1
dvdsok,Alicante,1
dwelling,Alicante,1
e,Alicante,1
ear,Alicante,2
east,Alicante,3
eastern,Alicante,1
easy,Alicante,39
eat,Alicante,20
eatery,Alicante,3
eats,Alicante,1
edge,Alicante,6
effect,Alicante,1
egg,Alicante,3
eighty,Alicante,1
el,Alicante,15
electric,Alicante,1
electronic,Alicante,1
element,Alicante,1
elevator,Alicante,1
email,Alicante,1
emergency,Alicante,1
empty,Alicante,3
encounter,Alicante,1
end,Alicante,49
endless,Alicante,1
energetic,Alicante,3
england,Alicante,2
enjoy,Alicante,33
enjoyable,Alicante,3
entertainement,Alicante,1
entertainment,Alicante,1
entire,Alicante,3
entrance,Alicante,5
environment,Alicante,2
equipment,Alicante,3
esp,Alicante,1
espana,Alicante,1
esplanade,Alicante,4
esta,Alicante,1
estate,Alicante,1
etc,Alicante,30
euro,Alicante,37
europe,Alicante,2
european,Alicante,3
evening,Alicante,2
event,Alicante,2
everone,Alicante,1
everybody,Alicante,1
everyday,Alicante,4
everyone,Alicante,13
everything,Alicante,10
excellent,Alicante,15
exception,Alicante,1
exceptional,Alicante,1
excess,Alicante,1
exclusive,Alicante,1
excuse,Alicante,1
exercise,Alicante,4
exit,Alicante,1
expanse,Alicante,1
expat,Alicante,1
expectation,Alicante,1
expense,Alicante,1
expensive,Alicante,22
experience,Alicante,3
experienced,Alicante,1
explanada,Alicante,3
explore,Alicante,1
exposure,Alicante,1
extortionate,Alicante,1
extra,Alicante,1
eye,Alicante,4
fab,Alicante,5
fabaquer,Alicante,1
fabulous,Alicante,4
face,Alicante,1
facility,Alicante,22
fact,Alicante,4
fail,Alicante,1
fair,Alicante,6
fall,Alicante,1
familiar,Alicante,1
family,Alicante,37
famous,Alicante,1
fan,Alicante,3
fancy,Alicante,5
fantastic,Alicante,15
faro,Alicante,1
faster,Alicante,1
fault,Alicante,2
fav,Alicante,1
favorite,Alicante,3
favourite,Alicante,8
fear,Alicante,4
february,Alicante,3
fee,Alicante,3
feel,Alicante,11
felt,Alicante,6
field,Alicante,1
fierce,Alicante,1
fiesta,Alicante,1
